k_nn,threshold,node_index,node_name,kappa_grid_best,mse_grid_best,joint_success,params_joint,mse_joint,mse_node,corr_node
1,0.001,0,0,-0.6,4.157186381588621,True,"[-0.266052791420573, 1.1804766817949868, 0.03220607424200861, -0.23284004135977956]",0.9996259182756202,0.9998307887258272,0.013014536162453723
1,0.001,1,1,-0.6,4.157186381588621,True,"[-0.266052791420573, 1.1804766817949868, 0.03220607424200861, -0.23284004135977956]",0.9996259182756202,0.9992995163930902,0.026761982188719075
1,0.001,2,2,-0.6,4.157186381588621,True,"[-0.266052791420573, 1.1804766817949868, 0.03220607424200861, -0.23284004135977956]",0.9996259182756202,0.99941849420188,0.02418339905165978
1,0.001,3,3,-0.6,4.157186381588621,True,"[-0.266052791420573, 1.1804766817949868, 0.03220607424200861, -0.23284004135977956]",0.9996259182756202,0.9999087862308913,0.009578915831985564
1,0.001,4,4,-0.6,4.157186381588621,True,"[-0.266052791420573, 1.1804766817949868, 0.03220607424200861, -0.23284004135977956]",0.9996259182756202,0.9996720058264128,0.018179718330215058
1,0.01,0,0,-0.6,4.157186381588621,True,"[-0.266052791420573, 1.1804766817949868, 0.03220607424200861, -0.23284004135977956]",0.9996259182756202,0.9998307887258272,0.013014536162453723
1,0.01,1,1,-0.6,4.157186381588621,True,"[-0.266052791420573, 1.1804766817949868, 0.03220607424200861, -0.23284004135977956]",0.9996259182756202,0.9992995163930902,0.026761982188719075
1,0.01,2,2,-0.6,4.157186381588621,True,"[-0.266052791420573, 1.1804766817949868, 0.03220607424200861, -0.23284004135977956]",0.9996259182756202,0.99941849420188,0.02418339905165978
1,0.01,3,3,-0.6,4.157186381588621,True,"[-0.266052791420573, 1.1804766817949868, 0.03220607424200861, -0.23284004135977956]",0.9996259182756202,0.9999087862308913,0.009578915831985564
1,0.01,4,4,-0.6,4.157186381588621,True,"[-0.266052791420573, 1.1804766817949868, 0.03220607424200861, -0.23284004135977956]",0.9996259182756202,0.9996720058264128,0.018179718330215058
1,0.05,0,0,-0.6,4.157186381588621,True,"[-0.266052791420573, 1.1804766817949868, 0.03220607424200861, -0.23284004135977956]",0.9996259182756202,0.9998307887258272,0.013014536162453723
1,0.05,1,1,-0.6,4.157186381588621,True,"[-0.266052791420573, 1.1804766817949868, 0.03220607424200861, -0.23284004135977956]",0.9996259182756202,0.9992995163930902,0.026761982188719075
1,0.05,2,2,-0.6,4.157186381588621,True,"[-0.266052791420573, 1.1804766817949868, 0.03220607424200861, -0.23284004135977956]",0.9996259182756202,0.99941849420188,0.02418339905165978
1,0.05,3,3,-0.6,4.157186381588621,True,"[-0.266052791420573, 1.1804766817949868, 0.03220607424200861, -0.23284004135977956]",0.9996259182756202,0.9999087862308913,0.009578915831985564
1,0.05,4,4,-0.6,4.157186381588621,True,"[-0.266052791420573, 1.1804766817949868, 0.03220607424200861, -0.23284004135977956]",0.9996259182756202,0.9996720058264128,0.018179718330215058
2,0.001,0,0,-0.5,4.08314982292316,True,"[-0.2791650140451044, 1.3657892947128896, 0.008520351394281119, -0.19905681133707473]",0.9996098131344,0.9998010551837404,0.014133253036246261
2,0.001,1,1,-0.5,4.08314982292316,True,"[-0.2791650140451044, 1.3657892947128896, 0.008520351394281119, -0.19905681133707473]",0.9996098131344,0.9993841950834181,0.02483936631895747
2,0.001,2,2,-0.5,4.08314982292316,True,"[-0.2791650140451044, 1.3657892947128896, 0.008520351394281119, -0.19905681133707473]",0.9996098131344,0.9992934028825332,0.026595903535392106
2,0.001,3,3,-0.5,4.08314982292316,True,"[-0.2791650140451044, 1.3657892947128896, 0.008520351394281119, -0.19905681133707473]",0.9996098131344,0.9998982046042129,0.010106494798127646
2,0.001,4,4,-0.5,4.08314982292316,True,"[-0.2791650140451044, 1.3657892947128896, 0.008520351394281119, -0.19905681133707473]",0.9996098131344,0.9996722079180963,0.018150781598700868
2,0.01,0,0,-0.5,4.08314982292316,True,"[-0.2791650140451044, 1.3657892947128896, 0.008520351394281119, -0.19905681133707473]",0.9996098131344,0.9998010551837404,0.014133253036246261
2,0.01,1,1,-0.5,4.08314982292316,True,"[-0.2791650140451044, 1.3657892947128896, 0.008520351394281119, -0.19905681133707473]",0.9996098131344,0.9993841950834181,0.02483936631895747
2,0.01,2,2,-0.5,4.08314982292316,True,"[-0.2791650140451044, 1.3657892947128896, 0.008520351394281119, -0.19905681133707473]",0.9996098131344,0.9992934028825332,0.026595903535392106
2,0.01,3,3,-0.5,4.08314982292316,True,"[-0.2791650140451044, 1.3657892947128896, 0.008520351394281119, -0.19905681133707473]",0.9996098131344,0.9998982046042129,0.010106494798127646
2,0.01,4,4,-0.5,4.08314982292316,True,"[-0.2791650140451044, 1.3657892947128896, 0.008520351394281119, -0.19905681133707473]",0.9996098131344,0.9996722079180963,0.018150781598700868
2,0.05,0,0,-0.5,4.08314982292316,True,"[-0.2791650140451044, 1.3657892947128896, 0.008520351394281119, -0.19905681133707473]",0.9996098131344,0.9998010551837404,0.014133253036246261
2,0.05,1,1,-0.5,4.08314982292316,True,"[-0.2791650140451044, 1.3657892947128896, 0.008520351394281119, -0.19905681133707473]",0.9996098131344,0.9993841950834181,0.02483936631895747
2,0.05,2,2,-0.5,4.08314982292316,True,"[-0.2791650140451044, 1.3657892947128896, 0.008520351394281119, -0.19905681133707473]",0.9996098131344,0.9992934028825332,0.026595903535392106
2,0.05,3,3,-0.5,4.08314982292316,True,"[-0.2791650140451044, 1.3657892947128896, 0.008520351394281119, -0.19905681133707473]",0.9996098131344,0.9998982046042129,0.010106494798127646
2,0.05,4,4,-0.5,4.08314982292316,True,"[-0.2791650140451044, 1.3657892947128896, 0.008520351394281119, -0.19905681133707473]",0.9996098131344,0.9996722079180963,0.018150781598700868
3,0.001,0,0,-0.5,4.084948458800073,True,"[-0.26456868982387083, 1.3416200782732959, 0.0, -0.18548198106723268]",0.9996212820995664,0.9998199185796521,0.013429230704297416
3,0.001,1,1,-0.5,4.084948458800073,True,"[-0.26456868982387083, 1.3416200782732959, 0.0, -0.18548198106723268]",0.9996212820995664,0.9992737016839417,0.02721022908286465
3,0.001,2,2,-0.5,4.084948458800073,True,"[-0.26456868982387083, 1.3416200782732959, 0.0, -0.18548198106723268]",0.9996212820995664,0.9994310777404795,0.02397146975631642
3,0.001,3,3,-0.5,4.084948458800073,True,"[-0.26456868982387083, 1.3416200782732959, 0.0, -0.18548198106723268]",0.9996212820995664,0.9999112032030935,0.00948671293187331
3,0.001,4,4,-0.5,4.084948458800073,True,"[-0.26456868982387083, 1.3416200782732959, 0.0, -0.18548198106723268]",0.9996212820995664,0.9996705092906658,0.018217299965030954
3,0.01,0,0,-0.5,4.084948458800073,True,"[-0.26456868982387083, 1.3416200782732959, 0.0, -0.18548198106723268]",0.9996212820995664,0.9998199185796521,0.013429230704297416
3,0.01,1,1,-0.5,4.084948458800073,True,"[-0.26456868982387083, 1.3416200782732959, 0.0, -0.18548198106723268]",0.9996212820995664,0.9992737016839417,0.02721022908286465
3,0.01,2,2,-0.5,4.084948458800073,True,"[-0.26456868982387083, 1.3416200782732959, 0.0, -0.18548198106723268]",0.9996212820995664,0.9994310777404795,0.02397146975631642
3,0.01,3,3,-0.5,4.084948458800073,True,"[-0.26456868982387083, 1.3416200782732959, 0.0, -0.18548198106723268]",0.9996212820995664,0.9999112032030935,0.00948671293187331
3,0.01,4,4,-0.5,4.084948458800073,True,"[-0.26456868982387083, 1.3416200782732959, 0.0, -0.18548198106723268]",0.9996212820995664,0.9996705092906658,0.018217299965030954
3,0.05,0,0,-0.5,4.084948458800073,True,"[-0.26456868982387083, 1.3416200782732959, 0.0, -0.18548198106723268]",0.9996212820995664,0.9998199185796521,0.013429230704297416
3,0.05,1,1,-0.5,4.084948458800073,True,"[-0.26456868982387083, 1.3416200782732959, 0.0, -0.18548198106723268]",0.9996212820995664,0.9992737016839417,0.02721022908286465
3,0.05,2,2,-0.5,4.084948458800073,True,"[-0.26456868982387083, 1.3416200782732959, 0.0, -0.18548198106723268]",0.9996212820995664,0.9994310777404795,0.02397146975631642
3,0.05,3,3,-0.5,4.084948458800073,True,"[-0.26456868982387083, 1.3416200782732959, 0.0, -0.18548198106723268]",0.9996212820995664,0.9999112032030935,0.00948671293187331
3,0.05,4,4,-0.5,4.084948458800073,True,"[-0.26456868982387083, 1.3416200782732959, 0.0, -0.18548198106723268]",0.9996212820995664,0.9996705092906658,0.018217299965030954
4,0.001,0,0,-0.5,4.084688088399332,True,"[-0.2803869766217453, 1.3863313582545822, 0.0, -0.18436034752223537]",0.9996198494750896,0.9998149630756983,0.01361586626889846
4,0.001,1,1,-0.5,4.084688088399332,True,"[-0.2803869766217453, 1.3863313582545822, 0.0, -0.18436034752223537]",0.9996198494750896,0.999257196117894,0.0275205733591177
4,0.001,2,2,-0.5,4.084688088399332,True,"[-0.2803869766217453, 1.3863313582545822, 0.0, -0.18436034752223537]",0.9996198494750896,0.9994364832282804,0.023886925898400125
4,0.001,3,3,-0.5,4.084688088399332,True,"[-0.2803869766217453, 1.3863313582545822, 0.0, -0.18436034752223537]",0.9996198494750896,0.9999234115490224,0.008931630432245498
4,0.001,4,4,-0.5,4.084688088399332,True,"[-0.2803869766217453, 1.3863313582545822, 0.0, -0.18436034752223537]",0.9996198494750896,0.9996671934045533,0.018319100708362172
4,0.01,0,0,-0.5,4.084688088399332,True,"[-0.2803869766217453, 1.3863313582545822, 0.0, -0.18436034752223537]",0.9996198494750896,0.9998149630756983,0.01361586626889846
4,0.01,1,1,-0.5,4.084688088399332,True,"[-0.2803869766217453, 1.3863313582545822, 0.0, -0.18436034752223537]",0.9996198494750896,0.999257196117894,0.0275205733591177
4,0.01,2,2,-0.5,4.084688088399332,True,"[-0.2803869766217453, 1.3863313582545822, 0.0, -0.18436034752223537]",0.9996198494750896,0.9994364832282804,0.023886925898400125
4,0.01,3,3,-0.5,4.084688088399332,True,"[-0.2803869766217453, 1.3863313582545822, 0.0, -0.18436034752223537]",0.9996198494750896,0.9999234115490224,0.008931630432245498
4,0.01,4,4,-0.5,4.084688088399332,True,"[-0.2803869766217453, 1.3863313582545822, 0.0, -0.18436034752223537]",0.9996198494750896,0.9996671934045533,0.018319100708362172
4,0.05,0,0,-0.5,4.084688088399332,True,"[-0.2803869766217453, 1.3863313582545822, 0.0, -0.18436034752223537]",0.9996198494750896,0.9998149630756983,0.01361586626889846
4,0.05,1,1,-0.5,4.084688088399332,True,"[-0.2803869766217453, 1.3863313582545822, 0.0, -0.18436034752223537]",0.9996198494750896,0.999257196117894,0.0275205733591177
4,0.05,2,2,-0.5,4.084688088399332,True,"[-0.2803869766217453, 1.3863313582545822, 0.0, -0.18436034752223537]",0.9996198494750896,0.9994364832282804,0.023886925898400125
4,0.05,3,3,-0.5,4.084688088399332,True,"[-0.2803869766217453, 1.3863313582545822, 0.0, -0.18436034752223537]",0.9996198494750896,0.9999234115490224,0.008931630432245498
4,0.05,4,4,-0.5,4.084688088399332,True,"[-0.2803869766217453, 1.3863313582545822, 0.0, -0.18436034752223537]",0.9996198494750896,0.9996671934045533,0.018319100708362172
